#INSPVAXA,ICOM3,0,92.5,FINESTEERING,2427,544590.600,00000000,0249,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544591*d4da6f91
#RAWIMUA,ICOM3,0,92.5,FINESTEERING,2427,544590.596,00000000,0000,797;2427,544590.595912000,19920002,1163510,285083,-521559,-26786,15851,-21045*d2433621
#INSPVAXA,ICOM3,0,92.5,FINESTEERING,2427,544590.610,00000000,0253,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544591*0f490bef
#RAWIMUA,ICOM3,0,92.5,FINESTEERING,2427,544590.606,00000000,0000,797;2427,544590.605923000,19920003,1155892,285234,-515288,-29901,-871,17285*aeb88bbe
#INSPVAXA,ICOM3,0,92.5,FINESTEERING,2427,544590.620,00000000,025d,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544591*aa659e4c
#RAWIMUA,ICOM3,0,92.5,FINESTEERING,2427,544590.616,00000000,0000,797;2427,544590.616004000,19920004,1171576,290516,-520612,-10162,-1613,29024*70a930e9
$GPGGA,071612.60,3109.8268659,N,12127.2280423,E,4,35,0.6,6.037,M,11.031,M,1.600,1793*46
#BESTGNSSPOSA,ICOM3,0,92.5,FINESTEERING,2427,544590.600,03e1c006,0000,797;SOL_COMPUTED,NARROW_INT,31.16378109905,121.45380070449,6.0374,11.0314,WGS84,0.0150,0.0131,0.0256,"1793",1.600,0.014,40,35,35,35,0F,00,30,37*94c87636
#HEADINGA,ICOM3,0,92.5,FINESTEERING,2427,544590.600,00000000,0000,797;SOL_COMPUTED,NONE,0.000000000,0.000000000,0.000000000,0.0,0.000000000,0.000000000,"1793",0,0,0,0,0,00,30,37*d05adaa4
$GPGSV,2,1,07,12,00,000,23,13,00,000,40,15,39,058,44,18,48,218,45*75
$GPGSV,2,2,07,20,14,068,38,24,67,047,44,32,11,271,35,,,,*4B
$GLGSV,3,1,09,70,17,072,43,72,23,305,39,73,49,100,47,74,27,160,37*6B
$GLGSV,3,2,09,85,00,000,24,86,37,245,44,87,33,296,40,90,00,000,31*62
$GLGSV,3,3,09,91,00,000,35,,,,,,,,,,,,*52
$GAGSV,2,1,06,03,25,265,44,11,07,161,35,16,17,128,40,31,14,074,39*6F
$GAGSV,2,2,06,34,55,288,47,36,50,190,46,,,,,,,,*62
$GQGSV,1,1,02,03,43,170,39,07,53,169,38,,,,,,,,*76
$GBGSV,4,1,16,01,48,147,49,02,35,242,45,03,55,202,49,04,37,120,43*60
$GBGSV,4,2,16,06,70,042,44,07,58,191,50,10,47,192,45,11,24,269,41*6C
$GBGSV,4,3,16,12,12,295,41,20,29,306,45,23,49,086,48,27,00,000,29*6D
$GBGSV,4,4,16,29,16,290,45,30,22,238,43,37,40,166,43,41,23,086,44*6B
$GPGSA,M,3,15,18,20,24,32,,,,,,,,1.2,0.6,1.1,1*2E
#INSPVAXA,ICOM3,0,92.5,FINESTEERING,2427,544590.630,00000000,0268,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544591*9decbc30
#RAWIMUA,ICOM3,0,92.5,FINESTEERING,2427,544590.626,00000000,0000,797;2427,544590.625926000,19960005,1170519,283200,-516293,-37606,-7295,67583*759904b4
#INSPVAXA,ICOM3,0,92.5,FINESTEERING,2427,544590.640,00000000,0271,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544591*a0ed6f3b
#RAWIMUA,ICOM3,0,92.5,FINESTEERING,2427,544590.636,00000000,0000,797;2427,544590.635912000,19960006,1168434,274703,-520688,-25114,-9655,13307*53246812
