#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.266,00000000,0000,797;2427,544426.266099000,1a7e00d1,1164541,291777,-519572,-16162,-6132,-17443*ae3a5066
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.280,00000000,010a,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*2a6c307e
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.276,00000000,0000,797;2427,544426.276091000,1a8000d2,1164210,291617,-519340,-22031,-212,-15680*635544bc
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.290,00000000,0114,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*cc13f686
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.286,00000000,0000,797;2427,544426.286083000,1a7e00d3,1163750,292599,-519384,-17768,-1722,-14567*7ba4f0c0
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.300,00000000,011e,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*d906ca12
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.296,00000000,0000,797;2427,544426.296074000,1a8300d4,1163549,293979,-519072,-16687,253,-14295*279808e5
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.310,00000000,0128,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*72d4d38f
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.306,00000000,0000,797;2427,544426.306122000,1a8200d5,1161277,292156,-518426,-15539,1801,-20167*f6ac6858
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.320,00000000,0132,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*de421cfc
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.316,00000000,0000,797;2427,544426.316157000,1a8300d6,1164277,291484,-519503,-13539,3745,-16741*d8fea413
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.330,00000000,013c,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*f353b696
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.326,00000000,0000,797;2427,544426.326084000,1a8400d7,1163254,291884,-519048,-18621,-1262,-11117*01c20e7d
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.340,00000000,0146,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*10d4b344
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.336,00000000,0000,797;2427,544426.336106000,1a8000d8,1163325,293219,-519654,-23506,-2714,-17926*8d120265
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.350,00000000,0150,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*ee47f8f3
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.346,00000000,0000,797;2427,544426.346097000,1a7d00d9,1163189,292079,-519148,-13047,-2015,-14861*6210dbee
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.360,00000000,015a,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*b453f994
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.356,00000000,0000,797;2427,544426.356089000,1a7900da,1163446,291923,-518490,-18785,2128,-14551*d031a323
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.370,00000000,0164,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*267e2a87
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.366,00000000,0000,797;2427,544426.366082000,1a7b00db,1163488,291060,-519399,-17145,7560,-18467*fe2140ee
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.380,00000000,016e,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*9506d78f
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.376,00000000,0000,797;2427,544426.376074000,1a8000dc,1162050,291938,-520163,-23014,-6499,-16858*059b54d5
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.390,00000000,0178,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*4a86dbf9
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.386,00000000,0000,797;2427,544426.386097000,1a8500dd,1164424,290620,-517689,-17014,4631,-9939*58084790
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.400,00000000,0182,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*bc94cd93
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.396,00000000,0000,797;2427,544426.396090000,1a8700de,1164400,291003,-518579,-19113,-2612,-12831*a1221332
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.410,00000000,018c,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*918567f9
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.406,00000000,0000,797;2427,544426.406096000,1a8500df,1163579,291266,-518647,-19867,-5970,-5915*8349e1b1
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.420,00000000,0196,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*00ff0a0c
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.416,00000000,0000,797;2427,544426.416114000,1a8200e0,1163087,290840,-518740,-21113,2291,-15143*c3a75a9a
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.430,00000000,01a0,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*667cb531
$GPGGA,071328.40,3109.8268742,N,12127.2280438,E,4,32,0.6,6.052,M,11.031,M,1.400,1793*4F
#BESTGNSSPOSA,ICOM3,0,87.5,FINESTEERING,2427,544426.400,03e1c006,0000,797;SOL_COMPUTED,NARROW_INT,31.16378123614,121.45380073017,6.0521,11.0314,WGS84,0.0136,0.0116,0.0263,"1793",1.400,0.017,40,32,32,32,0F,00,30,37*b1785a74
#HEADINGA,ICOM3,0,87.5,FINESTEERING,2427,544426.400,00000000,0000,797;SOL_COMPUTED,NONE,0.000000000,0.000000000,0.000000000,0.0,0.000000000,0.000000000,"1793",0,0,0,0,0,00,30,37*ec546021
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.426,00000000,0000,797;2427,544426.426137000,1a8100e1,1163797,290423,-520671,-23604,-3373,-19571*3244882c
$GPGSV,2,1,08,10,00,000,32,12,18,141,25,13,00,000,33,15,00,000,33*7D
$GPGSV,2,2,08,18,49,220,43,20,14,067,36,24,68,048,46,32,11,270,39*79
$GLGSV,2,1,08,70,18,070,44,72,23,304,42,73,48,102,47,85,00,000,30*64
$GLGSV,2,2,08,86,38,246,47,87,33,297,40,90,00,000,39,91,00,000,29*6C
$GAGSV,2,1,06,03,24,264,44,11,08,161,34,16,00,000,42,31,14,075,35*63
$GAGSV,2,2,06,34,55,290,45,36,51,190,49,,,,,,,,*67
$GQGSV,1,1,02,03,44,170,44,07,53,169,40,,,,,,,,*74
$GBGSV,4,1,16,01,48,147,49,02,35,242,46,03,55,202,49,04,37,120,41*61
$GBGSV,4,2,16,06,69,040,45,07,58,190,50,10,47,192,45,11,24,270,45*6A
$GBGSV,4,3,16,12,12,295,43,20,28,305,46,23,49,088,47,27,00,000,30*67
$GBGSV,4,4,16,29,16,291,44,30,23,239,45,37,39,167,47,41,23,084,46*66
$GPGSA,M,3,12,18,20,24,32,,,,,,,,1.3,0.6,1.2,1*2B
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.440,00000000,01aa,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*d263e24c
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.436,00000000,0000,797;2427,544426.436090000,1a8100e2,1163449,291788,-518817,-10326,-2474,-16799*853cedf3
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.450,00000000,01b4,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*404e315f
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.446,00000000,0000,797;2427,544426.446082000,1a7f00e3,1163907,290938,-518578,-16096,-3235,-17693*e302df95
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.460,00000000,01be,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*1a5a3038
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.456,00000000,0000,797;2427,544426.456074000,1a7f00e4,1165142,291273,-520551,-14359,-3991,-24758*24b9bb9f
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.470,00000000,01c8,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*c5da3c4e
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.466,00000000,0000,797;2427,544426.466098000,1a7f00e5,1163913,292208,-519216,-23145,-2681,-10929*cbf617e3
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.480,00000000,01d2,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*1cd6316f
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.476,00000000,0000,797;2427,544426.476088000,1a7e00e6,1162855,290155,-518469,-17309,-1491,-15354*27679253
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.490,00000000,01dc,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*31c79b05
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.486,00000000,0000,797;2427,544426.486096000,1a8000e7,1163225,290112,-519289,-23309,1005,-18468*d7c1a4e6
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.500,00000000,01e6,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*efbccb03
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.496,00000000,0000,797;2427,544426.496074000,1a8300e8,1162766,291193,-519400,-20850,678,-10025*864d2998
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.510,00000000,01f0,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*657d955f
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.506,00000000,0000,797;2427,544426.506118000,1a8600e9,1162994,290933,-519200,-21899,-2680,-6789*ad6467fb
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.520,00000000,01fa,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*3f699438
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.516,00000000,0000,797;2427,544426.516113000,1a8900ea,1162730,291588,-519175,-17867,4564,-22423*31085a23
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.530,00000000,0204,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*160b17ad
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.526,00000000,0000,797;2427,544426.526083000,1a8700eb,1163158,292732,-519353,-18785,4136,-10830*07bc1ac4
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.540,00000000,020e,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*a21440d0
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.536,00000000,0000,797;2427,544426.536070000,1a8300ec,1163183,292185,-518526,-20555,-3436,-12376*b79452d1
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.550,00000000,0218,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*7d944ca6
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.546,00000000,0000,797;2427,544426.546091000,1a8300ed,1160828,290966,-519429,-20063,514,-16858*a612ae56
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.560,00000000,0222,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*a550963e
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.556,00000000,0000,797;2427,544426.556084000,1a8500ee,1164425,290389,-517850,-21047,-5411,-16984*f051bf67
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.570,00000000,022c,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*88413c54
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.566,00000000,0000,797;2427,544426.566077000,1a8000ef,1162608,291153,-520056,-23440,1104,-16070*76d6f8f7
#INSPVAXA,ICOM3,0,87.5,FINESTEERING,2427,544426.580,00000000,0236,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544427*f057adce
#RAWIMUA,ICOM3,0,87.5,FINESTEERING,2427,544426.576,00000000,0000,797;2427,544426.576069000,1a7f00f0,1164150,291151,-519926,-15605,-1786,-3956*39357be3
