#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.296,00000000,0000,797;2427,544487.295822000,1a1d00a8,1164135,288594,-519272,-14848,-473,-10565*1367a12f
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.310,00000000,0127,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*0323e5e3
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.306,00000000,0000,797;2427,544487.305846000,1a1d00a9,1165537,289848,-518303,-18553,1894,-15583*48ff54fe
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.320,00000000,0131,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*8ab50559
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.316,00000000,0000,797;2427,544487.315859000,1a1d00aa,1164571,289336,-520167,-24815,1889,-17920*be931f98
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.330,00000000,013b,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*4463deb0
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.326,00000000,0000,797;2427,544487.325834000,1a1f00ab,1165094,287931,-519855,-19405,-3340,-10745*b270d2f8
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.340,00000000,0145,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*4423aae1
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.336,00000000,0000,797;2427,544487.335824000,1a1e00ac,1165279,288436,-518680,-18717,-8869,-15696*e36a4c3f
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.350,00000000,014f,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*8af57108
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.346,00000000,0000,797;2427,544487.345817000,1a1a00ad,1163379,288564,-519205,-16848,-3930,-12684*2ab35cf3
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.360,00000000,0159,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*c1b7a7f0
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.356,00000000,0000,797;2427,544487.355810000,1a1800ae,1164167,289021,-519146,-18061,-4918,-21000*116798d0
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.370,00000000,0163,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*6e76d665
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.366,00000000,0000,797;2427,544487.365834000,1a1300af,1163837,288140,-518938,-23044,10712,-22610*fec743d0
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.380,00000000,016d,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*2236bfa9
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.376,00000000,0000,797;2427,544487.375825000,1a1800b0,1165532,288381,-517728,-18454,3639,-11863*2bd4d172
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.390,00000000,0177,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*3b71ed95
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.386,00000000,0000,797;2427,544487.385817000,1a1d00b1,1164133,289317,-519083,-22028,3076,-11145*82c320bb
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.400,00000000,0181,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*e863d436
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.396,00000000,0000,797;2427,544487.395810000,1a1d00b2,1163717,288426,-516940,-10618,4073,-15830*4dbc1665
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.410,00000000,018b,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*26b50fdf
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.406,00000000,0000,797;2427,544487.405852000,1a1500b3,1164401,288852,-519636,-16946,-6464,-9869*e6ba9fdb
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.420,00000000,0195,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*540813a9
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.416,00000000,0000,797;2427,544487.415841000,1a1800b4,1164195,288797,-518749,-20847,-2189,-12777*8a28251a
$GPGGA,071429.40,3109.8268756,N,12127.2280534,E,4,34,0.6,5.995,M,11.031,M,1.400,1793*46
#BESTGNSSPOSA,ICOM3,0,92.9,FINESTEERING,2427,544487.400,03e1c005,a400,797;SOL_COMPUTED,NARROW_INT,31.16378125957,121.45380088939,5.9950,11.0314,WGS84,0.0143,0.0123,0.0272,"1793",1.400,0.015,41,34,34,34,01,00,30,37*d73c5c99
#HEADINGA,ICOM3,0,92.9,FINESTEERING,2427,544487.400,00000000,0000,797;SOL_COMPUTED,NONE,0.000000000,0.000000000,0.000000000,0.0,0.000000000,0.000000000,"1793",0,0,0,0,0,00,30,37*7c14c7f1
$GPGSV,2,1,08,10,00,000,28,12,00,000,30,13,00,000,37,15,00,000,37*7F
$GPGSV,2,2,08,18,49,219,45,20,14,067,37,24,68,048,47,32,11,271,40*7A
$GLGSV,3,1,09,70,17,071,44,72,23,304,41,73,48,101,46,74,00,000,27*63
$GLGSV,3,2,09,85,00,000,28,86,38,246,45,87,33,297,42,90,00,000,38*69
$GLGSV,3,3,09,91,00,000,35,,,,,,,,,,,,*52
$GAGSV,2,1,06,03,24,265,44,11,08,161,36,16,16,128,43,31,14,074,33*6A
$GAGSV,2,2,06,34,55,289,48,36,50,190,49,,,,,,,,*63
$GQGSV,1,1,02,03,44,170,43,07,53,169,38,,,,,,,,*7C
$GBGSV,4,1,16,01,48,147,49,02,35,242,46,03,55,202,48,04,37,120,42*63
$GBGSV,4,2,16,06,69,041,43,07,58,191,50,10,47,192,46,11,24,269,44*66
$GBGSV,4,3,16,12,12,295,37,20,28,305,46,23,49,087,46,27,00,000,34*6E
$GBGSV,4,4,16,29,16,291,45,30,23,239,45,37,39,167,46,41,23,085,46*67
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.430,00000000,019f,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*9adec840
$GPGSA,M,3,18,20,24,32,,,,,,,,,1.2,0.6,1.1,1*2A
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.426,00000000,0000,797;2427,544487.425856000,1a1c00b5,1163827,287660,-518014,-25536,-7327,-20161*662d7c08
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.440,00000000,01a9,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*a787bc28
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.436,00000000,0000,797;2427,544487.435811000,1a1e00b6,1164790,289871,-519189,-16061,-1296,-14609*b1eccc2f
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.450,00000000,01b3,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*0846cdbd
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.446,00000000,0000,797;2427,544487.445836000,1a1d00b7,1163403,286348,-518195,-17503,-343,-10795*cbbdfce8
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.460,00000000,01bd,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*ad6a581e
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.456,00000000,0000,797;2427,544487.455826000,1a1b00b8,1163796,288345,-518219,-22913,4491,-16132*453975aa
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.470,00000000,01c7,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*b42d0a22
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.466,00000000,0000,797;2427,544487.465819000,1a1c00b9,1163042,290014,-518401,-18356,-9164,-12806*143bfb43
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.480,00000000,01d1,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*482128ca
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.476,00000000,0000,797;2427,544487.475811000,1a1e00ba,1162776,288742,-518058,-22815,-1466,-11658*96d742d6
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.490,00000000,01db,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*86f7f323
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.486,00000000,0000,797;2427,544487.485803000,1a1b00bb,1163841,289967,-519517,-18323,1993,-8387*09ca6a51
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.500,00000000,01e5,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*bb4bd2a6
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.496,00000000,0000,797;2427,544487.495828000,1a1e00bc,1163738,288532,-519008,-22028,-412,-10536*16d4c031
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.510,00000000,01ef,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*759d094f
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.506,00000000,0000,797;2427,544487.505853000,1a2100bd,1165446,287745,-518902,-22749,3372,-11242*ffd737fa
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.520,00000000,01f9,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*4a8dca5c
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.516,00000000,0000,797;2427,544487.515891000,1a1b00be,1163356,289403,-520199,-22290,6763,-20491*65d4c379
#INSPVAXA,ICOM3,0,92.9,FINESTEERING,2427,544487.530,00000000,0203,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544488*5e03eb4f
#RAWIMUA,ICOM3,0,92.9,FINESTEERING,2427,544487.526,00000000,0000,797;2427,544487.525810000,1a1900bf,1164556,288960,-518719,-23142,7322,-14412*a5aec017
