baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,12,0.0,0.010583333333333332,0.0,0.0,2,1
无干扰 #1,409MHz 干扰,GAL,9,0.0,0.0,0.0,0.0,0,0
无干扰 #1,409MHz 干扰,GLO,5,0.0,0.0254,0.0,0.0635,2,0
无干扰 #1,409MHz 干扰,GPS,6,0.0,0.0,0.0,0.0,0,0
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.042333333333333334,0.0,0.0635,1,0
无干扰 #2,392MHz 干扰,BDS,11,0.0,0.040318181818181816,0.0,0.07375,5,0
无干扰 #2,392MHz 干扰,GAL,8,0.041999999999999996,0.05275,0.0,0.09475,4,0
无干扰 #2,392MHz 干扰,GLO,5,0.0,0.0254,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,GPS,6,0.0,0.0035833333333333364,0.0,0.0,1,1
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,BDS,11,0.0,0.011454545454545452,0.0,0.0,2,0
无干扰 #3,4G/5G 干扰,GAL,8,0.0,0.005250000000000001,0.0,0.0,1,0
无干扰 #3,4G/5G 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GPS,7,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,12,0.0,-0.0034999999999999983,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GAL,8,0.0,0.010499999999999999,0.0,0.0,1,0
无干扰 #4,Wi-Fi 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GPS,7,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
